# mut	min_bpb
  1	2.32193
  2	2.32193
  3	2.32193
  4	2.32193
  5	2.32177
  6	2.32158
  7	2.32135
  8	2.3211
  9	2.32082
  10	2.3205
  11	2.32013
  12	2.31974
  13	2.31933
  14	2.31885
  15	2.3184
  16	2.31786
  17	2.31728
  18	2.3167
  19	2.3161
  20	2.31561
  21	2.3154
  22	2.31487
  23	2.31416
  24	2.31333
  25	2.31253
  26	2.3117
  27	2.31077
  28	2.30993
  29	2.30893
  30	2.30796
  31	2.30701
  32	2.30589
  33	2.30491
  34	2.30378
  35	2.30271
  36	2.30156
  37	2.30042
  38	2.29925
  39	2.29792
  40	2.29673
  41	2.29538
  42	2.29414
  43	2.29271
  44	2.29133
  45	2.28995
  46	2.28854
  47	2.2871
  48	2.28564
  49	2.284
  50	2.28248
